surr_key_date_weather,Date,Year,Month,Day,Season
69,09-03-2000,2000,3,9,Autumn
70,10-03-2000,2000,3,10,Autumn
71,11-03-2000,2000,3,11,Autumn
72,12-03-2000,2000,3,12,Winter
73,13-03-2000,2000,3,13,Spring
74,14-03-2000,2000,3,14,Spring
75,15-03-2000,2000,3,15,Spring
76,16-03-2000,2000,3,16,Spring
77,17-03-2000,2000,3,17,Spring
78,18-03-2000,2000,3,18,Spring
79,19-03-2000,2000,3,19,Spring
80,20-03-2000,2000,3,20,Spring
81,21-03-2000,2000,3,21,Spring
82,22-03-2000,2000,3,22,Spring
83,23-03-2000,2000,3,23,Spring
84,24-03-2000,2000,3,24,Spring
85,25-03-2000,2000,3,25,Spring
86,26-03-2000,2000,3,26,Spring
87,27-03-2000,2000,3,27,Spring
88,28-03-2000,2000,3,28,Spring
89,29-03-2000,2000,3,29,Spring
90,30-03-2000,2000,3,30,Spring
91,31-03-2000,2000,3,31,Spring
92,01-04-2000,2000,4,1,Winter
93,02-04-2000,2000,4,2,Winter
94,03-04-2000,2000,4,3,Spring
95,04-04-2000,2000,4,4,Spring
96,05-04-2000,2000,4,5,Spring
97,06-04-2000,2000,4,6,Summer
98,07-04-2000,2000,4,7,Summer
99,08-04-2000,2000,4,8,Summer
100,09-04-2000,2000,4,9,Autumn
101,10-04-2000,2000,4,10,Autumn
102,11-04-2000,2000,4,11,Autumn
103,12-04-2000,2000,4,12,Winter
104,13-04-2000,2000,4,13,Spring
105,14-04-2000,2000,4,14,Spring
106,15-04-2000,2000,4,15,Spring
107,16-04-2000,2000,4,16,Spring
108,17-04-2000,2000,4,17,Spring
109,18-04-2000,2000,4,18,Spring
110,19-04-2000,2000,4,19,Spring
111,20-04-2000,2000,4,20,Spring
112,21-04-2000,2000,4,21,Spring
113,22-04-2000,2000,4,22,Spring
114,23-04-2000,2000,4,23,Spring
115,24-04-2000,2000,4,24,Spring
116,25-04-2000,2000,4,25,Spring
117,26-04-2000,2000,4,26,Spring
118,27-04-2000,2000,4,27,Spring
119,28-04-2000,2000,4,28,Spring
120,29-04-2000,2000,4,29,Spring
121,30-04-2000,2000,4,30,Spring
122,01-05-2000,2000,5,1,Winter
123,02-05-2000,2000,5,2,Winter
124,03-05-2000,2000,5,3,Spring
125,04-05-2000,2000,5,4,Spring
126,05-05-2000,2000,5,5,Spring
127,06-05-2000,2000,5,6,Summer
128,07-05-2000,2000,5,7,Summer
129,08-05-2000,2000,5,8,Summer
130,09-05-2000,2000,5,9,Autumn
131,10-05-2000,2000,5,10,Autumn
132,11-05-2000,2000,5,11,Autumn
133,12-05-2000,2000,5,12,Winter
134,13-05-2000,2000,5,13,Spring
135,14-05-2000,2000,5,14,Spring
136,15-05-2000,2000,5,15,Spring
137,16-05-2000,2000,5,16,Spring
138,17-05-2000,2000,5,17,Spring
139,18-05-2000,2000,5,18,Spring
140,19-05-2000,2000,5,19,Spring
141,20-05-2000,2000,5,20,Spring
142,21-05-2000,2000,5,21,Spring
143,22-05-2000,2000,5,22,Spring
144,23-05-2000,2000,5,23,Spring
145,24-05-2000,2000,5,24,Spring
146,25-05-2000,2000,5,25,Spring
147,26-05-2000,2000,5,26,Spring
148,27-05-2000,2000,5,27,Spring
149,28-05-2000,2000,5,28,Spring
150,29-05-2000,2000,5,29,Spring
151,30-05-2000,2000,5,30,Spring
152,31-05-2000,2000,5,31,Spring
153,01-06-2000,2000,6,1,Winter
154,02-06-2000,2000,6,2,Winter
155,03-06-2000,2000,6,3,Spring
156,04-06-2000,2000,6,4,Spring
157,05-06-2000,2000,6,5,Spring
158,06-06-2000,2000,6,6,Summer
159,07-06-2000,2000,6,7,Summer
160,08-06-2000,2000,6,8,Summer
161,09-06-2000,2000,6,9,Autumn
162,10-06-2000,2000,6,10,Autumn
163,11-06-2000,2000,6,11,Autumn
164,12-06-2000,2000,6,12,Winter
165,13-06-2000,2000,6,13,Summer
166,14-06-2000,2000,6,14,Summer
167,15-06-2000,2000,6,15,Summer
168,16-06-2000,2000,6,16,Summer
169,17-06-2000,2000,6,17,Summer
170,18-06-2000,2000,6,18,Summer
171,19-06-2000,2000,6,19,Summer
172,20-06-2000,2000,6,20,Summer
173,21-06-2000,2000,6,21,Summer
174,22-06-2000,2000,6,22,Summer
175,23-06-2000,2000,6,23,Summer
176,24-06-2000,2000,6,24,Summer
177,25-06-2000,2000,6,25,Summer
178,26-06-2000,2000,6,26,Summer
179,27-06-2000,2000,6,27,Summer
180,28-06-2000,2000,6,28,Summer
181,29-06-2000,2000,6,29,Summer
182,30-06-2000,2000,6,30,Summer
183,01-07-2000,2000,7,1,Winter
184,02-07-2000,2000,7,2,Winter
185,03-07-2000,2000,7,3,Spring
186,04-07-2000,2000,7,4,Spring
187,05-07-2000,2000,7,5,Spring
188,06-07-2000,2000,7,6,Summer
189,07-07-2000,2000,7,7,Summer
190,08-07-2000,2000,7,8,Summer
191,09-07-2000,2000,7,9,Autumn
192,10-07-2000,2000,7,10,Autumn
193,11-07-2000,2000,7,11,Autumn
194,12-07-2000,2000,7,12,Winter
195,13-07-2000,2000,7,13,Summer
196,14-07-2000,2000,7,14,Summer
197,15-07-2000,2000,7,15,Summer
198,16-07-2000,2000,7,16,Summer
199,17-07-2000,2000,7,17,Summer
200,18-07-2000,2000,7,18,Summer
201,19-07-2000,2000,7,19,Summer
202,20-07-2000,2000,7,20,Summer
203,21-07-2000,2000,7,21,Summer
204,22-07-2000,2000,7,22,Summer
205,23-07-2000,2000,7,23,Summer
206,24-07-2000,2000,7,24,Summer
207,25-07-2000,2000,7,25,Summer
208,26-07-2000,2000,7,26,Summer
209,27-07-2000,2000,7,27,Summer
210,28-07-2000,2000,7,28,Summer
211,29-07-2000,2000,7,29,Summer
212,30-07-2000,2000,7,30,Summer
213,31-07-2000,2000,7,31,Summer
214,01-08-2000,2000,8,1,Winter
215,02-08-2000,2000,8,2,Winter
216,03-08-2000,2000,8,3,Spring
217,04-08-2000,2000,8,4,Spring
218,05-08-2000,2000,8,5,Spring
219,06-08-2000,2000,8,6,Summer
220,07-08-2000,2000,8,7,Summer
221,08-08-2000,2000,8,8,Summer
222,09-08-2000,2000,8,9,Autumn
223,10-08-2000,2000,8,10,Autumn
224,11-08-2000,2000,8,11,Autumn
225,12-08-2000,2000,8,12,Winter
226,13-08-2000,2000,8,13,Summer
227,14-08-2000,2000,8,14,Summer
228,15-08-2000,2000,8,15,Summer
229,16-08-2000,2000,8,16,Summer
230,17-08-2000,2000,8,17,Summer
231,18-08-2000,2000,8,18,Summer
232,19-08-2000,2000,8,19,Summer
233,20-08-2000,2000,8,20,Summer
234,21-08-2000,2000,8,21,Summer
235,22-08-2000,2000,8,22,Summer
236,23-08-2000,2000,8,23,Summer
237,24-08-2000,2000,8,24,Summer
238,25-08-2000,2000,8,25,Summer
239,26-08-2000,2000,8,26,Summer
240,27-08-2000,2000,8,27,Summer
241,28-08-2000,2000,8,28,Summer
242,29-08-2000,2000,8,29,Summer
243,30-08-2000,2000,8,30,Summer
244,31-08-2000,2000,8,31,Summer
245,01-09-2000,2000,9,1,Winter
246,02-09-2000,2000,9,2,Winter
247,03-09-2000,2000,9,3,Spring
248,04-09-2000,2000,9,4,Spring
249,05-09-2000,2000,9,5,Spring
250,06-09-2000,2000,9,6,Summer
251,07-09-2000,2000,9,7,Summer
252,08-09-2000,2000,9,8,Summer
253,09-09-2000,2000,9,9,Autumn
254,10-09-2000,2000,9,10,Autumn
255,11-09-2000,2000,9,11,Autumn
256,12-09-2000,2000,9,12,Winter
257,13-09-2000,2000,9,13,Autumn
258,14-09-2000,2000,9,14,Autumn
259,15-09-2000,2000,9,15,Autumn
260,16-09-2000,2000,9,16,Autumn
261,17-09-2000,2000,9,17,Autumn
262,18-09-2000,2000,9,18,Autumn
263,19-09-2000,2000,9,19,Autumn
264,20-09-2000,2000,9,20,Autumn
265,21-09-2000,2000,9,21,Autumn
266,22-09-2000,2000,9,22,Autumn
267,23-09-2000,2000,9,23,Autumn
268,24-09-2000,2000,9,24,Autumn
269,25-09-2000,2000,9,25,Autumn
270,26-09-2000,2000,9,26,Autumn
271,27-09-2000,2000,9,27,Autumn
272,28-09-2000,2000,9,28,Autumn
273,29-09-2000,2000,9,29,Autumn
274,30-09-2000,2000,9,30,Autumn
275,01-10-2000,2000,10,1,Winter
276,02-10-2000,2000,10,2,Winter
277,03-10-2000,2000,10,3,Spring
278,04-10-2000,2000,10,4,Spring
279,05-10-2000,2000,10,5,Spring
280,06-10-2000,2000,10,6,Summer
281,07-10-2000,2000,10,7,Summer
282,08-10-2000,2000,10,8,Summer
283,09-10-2000,2000,10,9,Autumn
284,10-10-2000,2000,10,10,Autumn
285,11-10-2000,2000,10,11,Autumn
286,12-10-2000,2000,10,12,Winter
287,13-10-2000,2000,10,13,Autumn
288,14-10-2000,2000,10,14,Autumn
289,15-10-2000,2000,10,15,Autumn
290,16-10-2000,2000,10,16,Autumn
291,17-10-2000,2000,10,17,Autumn
292,18-10-2000,2000,10,18,Autumn
293,19-10-2000,2000,10,19,Autumn
294,20-10-2000,2000,10,20,Autumn
295,21-10-2000,2000,10,21,Autumn
296,22-10-2000,2000,10,22,Autumn
297,23-10-2000,2000,10,23,Autumn
298,24-10-2000,2000,10,24,Autumn
299,25-10-2000,2000,10,25,Autumn
300,26-10-2000,2000,10,26,Autumn
301,27-10-2000,2000,10,27,Autumn
302,28-10-2000,2000,10,28,Autumn
303,29-10-2000,2000,10,29,Autumn
304,30-10-2000,2000,10,30,Autumn
305,31-10-2000,2000,10,31,Autumn
306,01-11-2000,2000,11,1,Winter
307,02-11-2000,2000,11,2,Winter
308,03-11-2000,2000,11,3,Spring
309,04-11-2000,2000,11,4,Spring
310,05-11-2000,2000,11,5,Spring
311,06-11-2000,2000,11,6,Summer
312,07-11-2000,2000,11,7,Summer
313,08-11-2000,2000,11,8,Summer
314,09-11-2000,2000,11,9,Autumn
315,10-11-2000,2000,11,10,Autumn
316,11-11-2000,2000,11,11,Autumn
317,12-11-2000,2000,11,12,Winter
318,13-11-2000,2000,11,13,Autumn
319,14-11-2000,2000,11,14,Autumn
320,15-11-2000,2000,11,15,Autumn
321,16-11-2000,2000,11,16,Autumn
322,17-11-2000,2000,11,17,Autumn
323,18-11-2000,2000,11,18,Autumn
324,19-11-2000,2000,11,19,Autumn
325,20-11-2000,2000,11,20,Autumn
326,21-11-2000,2000,11,21,Autumn
327,22-11-2000,2000,11,22,Autumn
328,23-11-2000,2000,11,23,Autumn
329,24-11-2000,2000,11,24,Autumn
330,25-11-2000,2000,11,25,Autumn
331,26-11-2000,2000,11,26,Autumn
332,27-11-2000,2000,11,27,Autumn
333,28-11-2000,2000,11,28,Autumn
334,29-11-2000,2000,11,29,Autumn
335,30-11-2000,2000,11,30,Autumn
336,01-12-2000,2000,12,1,Winter
337,02-12-2000,2000,12,2,Winter
338,03-12-2000,2000,12,3,Spring
339,04-12-2000,2000,12,4,Spring
340,05-12-2000,2000,12,5,Spring
341,06-12-2000,2000,12,6,Summer
342,07-12-2000,2000,12,7,Summer
343,08-12-2000,2000,12,8,Summer
344,09-12-2000,2000,12,9,Autumn
345,10-12-2000,2000,12,10,Autumn
346,11-12-2000,2000,12,11,Autumn
347,12-12-2000,2000,12,12,Winter
348,13-12-2000,2000,12,13,Winter
349,14-12-2000,2000,12,14,Winter
350,15-12-2000,2000,12,15,Winter
351,16-12-2000,2000,12,16,Winter
352,17-12-2000,2000,12,17,Winter
353,18-12-2000,2000,12,18,Winter
354,19-12-2000,2000,12,19,Winter
355,20-12-2000,2000,12,20,Winter
356,21-12-2000,2000,12,21,Winter
357,22-12-2000,2000,12,22,Winter
358,23-12-2000,2000,12,23,Winter
359,24-12-2000,2000,12,24,Winter
360,25-12-2000,2000,12,25,Winter
361,26-12-2000,2000,12,26,Winter
362,27-12-2000,2000,12,27,Winter
363,28-12-2000,2000,12,28,Winter
364,29-12-2000,2000,12,29,Winter
365,30-12-2000,2000,12,30,Winter
366,31-12-2000,2000,12,31,Winter
367,01-01-2001,2001,1,1,Winter
368,02-01-2001,2001,1,2,Winter
369,03-01-2001,2001,1,3,Spring
370,04-01-2001,2001,1,4,Spring
371,05-01-2001,2001,1,5,Spring
372,06-01-2001,2001,1,6,Summer
373,07-01-2001,2001,1,7,Summer
374,08-01-2001,2001,1,8,Summer
375,09-01-2001,2001,1,9,Autumn
376,10-01-2001,2001,1,10,Autumn
377,11-01-2001,2001,1,11,Autumn
378,12-01-2001,2001,1,12,Winter
379,13-01-2001,2001,1,13,Winter
380,14-01-2001,2001,1,14,Winter
381,15-01-2001,2001,1,15,Winter
382,16-01-2001,2001,1,16,Winter
383,17-01-2001,2001,1,17,Winter
384,18-01-2001,2001,1,18,Winter
385,19-01-2001,2001,1,19,Winter
386,20-01-2001,2001,1,20,Winter
387,21-01-2001,2001,1,21,Winter
388,22-01-2001,2001,1,22,Winter
389,23-01-2001,2001,1,23,Winter
390,24-01-2001,2001,1,24,Winter
391,25-01-2001,2001,1,25,Winter
392,26-01-2001,2001,1,26,Winter
393,27-01-2001,2001,1,27,Winter
394,28-01-2001,2001,1,28,Winter
395,29-01-2001,2001,1,29,Winter
396,30-01-2001,2001,1,30,Winter
397,31-01-2001,2001,1,31,Winter
398,01-02-2001,2001,2,1,Winter
399,02-02-2001,2001,2,2,Winter
400,03-02-2001,2001,2,3,Spring
401,04-02-2001,2001,2,4,Spring
402,05-02-2001,2001,2,5,Spring
403,06-02-2001,2001,2,6,Summer
404,07-02-2001,2001,2,7,Summer
405,08-02-2001,2001,2,8,Summer
406,09-02-2001,2001,2,9,Autumn
407,10-02-2001,2001,2,10,Autumn
408,11-02-2001,2001,2,11,Autumn
409,12-02-2001,2001,2,12,Winter
410,13-02-2001,2001,2,13,Winter
411,14-02-2001,2001,2,14,Winter
412,15-02-2001,2001,2,15,Winter
413,16-02-2001,2001,2,16,Winter
414,17-02-2001,2001,2,17,Winter
415,18-02-2001,2001,2,18,Winter
416,19-02-2001,2001,2,19,Winter
417,20-02-2001,2001,2,20,Winter
418,21-02-2001,2001,2,21,Winter
419,22-02-2001,2001,2,22,Winter
420,23-02-2001,2001,2,23,Winter
421,24-02-2001,2001,2,24,Winter
422,25-02-2001,2001,2,25,Winter
423,26-02-2001,2001,2,26,Winter
424,27-02-2001,2001,2,27,Winter
425,28-02-2001,2001,2,28,Winter
426,01-03-2001,2001,3,1,Winter
427,02-03-2001,2001,3,2,Winter
428,03-03-2001,2001,3,3,Spring
429,04-03-2001,2001,3,4,Spring
430,05-03-2001,2001,3,5,Spring
431,06-03-2001,2001,3,6,Summer
432,07-03-2001,2001,3,7,Summer
433,08-03-2001,2001,3,8,Summer
434,09-03-2001,2001,3,9,Autumn
435,10-03-2001,2001,3,10,Autumn
436,11-03-2001,2001,3,11,Autumn
437,12-03-2001,2001,3,12,Winter
438,13-03-2001,2001,3,13,Spring
439,14-03-2001,2001,3,14,Spring
440,15-03-2001,2001,3,15,Spring
441,16-03-2001,2001,3,16,Spring
442,17-03-2001,2001,3,17,Spring
443,18-03-2001,2001,3,18,Spring
444,19-03-2001,2001,3,19,Spring
445,20-03-2001,2001,3,20,Spring
446,21-03-2001,2001,3,21,Spring
447,22-03-2001,2001,3,22,Spring
448,23-03-2001,2001,3,23,Spring
449,24-03-2001,2001,3,24,Spring
450,25-03-2001,2001,3,25,Spring
451,26-03-2001,2001,3,26,Spring
452,27-03-2001,2001,3,27,Spring
453,28-03-2001,2001,3,28,Spring
454,29-03-2001,2001,3,29,Spring
455,30-03-2001,2001,3,30,Spring
456,31-03-2001,2001,3,31,Spring
457,01-04-2001,2001,4,1,Winter
458,02-04-2001,2001,4,2,Winter
459,03-04-2001,2001,4,3,Spring
460,04-04-2001,2001,4,4,Spring
461,05-04-2001,2001,4,5,Spring
462,06-04-2001,2001,4,6,Summer
463,07-04-2001,2001,4,7,Summer
464,08-04-2001,2001,4,8,Summer
465,09-04-2001,2001,4,9,Autumn
466,10-04-2001,2001,4,10,Autumn
467,11-04-2001,2001,4,11,Autumn
468,12-04-2001,2001,4,12,Winter
469,13-04-2001,2001,4,13,Spring
470,14-04-2001,2001,4,14,Spring
471,15-04-2001,2001,4,15,Spring
472,16-04-2001,2001,4,16,Spring
473,17-04-2001,2001,4,17,Spring
474,18-04-2001,2001,4,18,Spring
475,19-04-2001,2001,4,19,Spring
476,20-04-2001,2001,4,20,Spring
477,21-04-2001,2001,4,21,Spring
478,22-04-2001,2001,4,22,Spring
479,23-04-2001,2001,4,23,Spring
480,24-04-2001,2001,4,24,Spring
481,25-04-2001,2001,4,25,Spring
482,26-04-2001,2001,4,26,Spring
483,27-04-2001,2001,4,27,Spring
484,28-04-2001,2001,4,28,Spring
485,29-04-2001,2001,4,29,Spring
486,30-04-2001,2001,4,30,Spring
487,01-05-2001,2001,5,1,Winter
488,02-05-2001,2001,5,2,Winter
489,03-05-2001,2001,5,3,Spring
490,04-05-2001,2001,5,4,Spring
491,05-05-2001,2001,5,5,Spring
492,06-05-2001,2001,5,6,Summer
493,07-05-2001,2001,5,7,Summer
494,08-05-2001,2001,5,8,Summer
495,09-05-2001,2001,5,9,Autumn
496,10-05-2001,2001,5,10,Autumn
497,11-05-2001,2001,5,11,Autumn
498,12-05-2001,2001,5,12,Winter
499,13-05-2001,2001,5,13,Spring
500,14-05-2001,2001,5,14,Spring
501,15-05-2001,2001,5,15,Spring
502,16-05-2001,2001,5,16,Spring
503,17-05-2001,2001,5,17,Spring
504,18-05-2001,2001,5,18,Spring
505,19-05-2001,2001,5,19,Spring
506,20-05-2001,2001,5,20,Spring
507,21-05-2001,2001,5,21,Spring
508,22-05-2001,2001,5,22,Spring
509,23-05-2001,2001,5,23,Spring
510,24-05-2001,2001,5,24,Spring
511,25-05-2001,2001,5,25,Spring
512,26-05-2001,2001,5,26,Spring
513,27-05-2001,2001,5,27,Spring
514,28-05-2001,2001,5,28,Spring
515,29-05-2001,2001,5,29,Spring
516,30-05-2001,2001,5,30,Spring
517,31-05-2001,2001,5,31,Spring
518,01-06-2001,2001,6,1,Winter
519,02-06-2001,2001,6,2,Winter
520,03-06-2001,2001,6,3,Spring
521,04-06-2001,2001,6,4,Spring
522,05-06-2001,2001,6,5,Spring
523,06-06-2001,2001,6,6,Summer
524,07-06-2001,2001,6,7,Summer
525,08-06-2001,2001,6,8,Summer
526,09-06-2001,2001,6,9,Autumn
527,10-06-2001,2001,6,10,Autumn
528,11-06-2001,2001,6,11,Autumn
529,12-06-2001,2001,6,12,Winter
530,13-06-2001,2001,6,13,Summer
531,14-06-2001,2001,6,14,Summer
532,15-06-2001,2001,6,15,Summer
533,16-06-2001,2001,6,16,Summer
534,17-06-2001,2001,6,17,Summer
535,18-06-2001,2001,6,18,Summer
536,19-06-2001,2001,6,19,Summer
537,20-06-2001,2001,6,20,Summer
538,21-06-2001,2001,6,21,Summer
539,22-06-2001,2001,6,22,Summer
540,23-06-2001,2001,6,23,Summer
541,24-06-2001,2001,6,24,Summer
542,25-06-2001,2001,6,25,Summer
543,26-06-2001,2001,6,26,Summer
544,27-06-2001,2001,6,27,Summer
545,28-06-2001,2001,6,28,Summer
546,29-06-2001,2001,6,29,Summer
547,30-06-2001,2001,6,30,Summer
548,01-07-2001,2001,7,1,Winter
549,02-07-2001,2001,7,2,Winter
550,03-07-2001,2001,7,3,Spring
551,04-07-2001,2001,7,4,Spring
552,05-07-2001,2001,7,5,Spring
553,06-07-2001,2001,7,6,Summer
554,07-07-2001,2001,7,7,Summer
555,08-07-2001,2001,7,8,Summer
556,09-07-2001,2001,7,9,Autumn
557,10-07-2001,2001,7,10,Autumn
558,11-07-2001,2001,7,11,Autumn
559,12-07-2001,2001,7,12,Winter
560,13-07-2001,2001,7,13,Summer
561,14-07-2001,2001,7,14,Summer
562,15-07-2001,2001,7,15,Summer
563,16-07-2001,2001,7,16,Summer
564,17-07-2001,2001,7,17,Summer
565,18-07-2001,2001,7,18,Summer
566,19-07-2001,2001,7,19,Summer
567,20-07-2001,2001,7,20,Summer
568,21-07-2001,2001,7,21,Summer
569,22-07-2001,2001,7,22,Summer
570,23-07-2001,2001,7,23,Summer
571,24-07-2001,2001,7,24,Summer
572,25-07-2001,2001,7,25,Summer
573,26-07-2001,2001,7,26,Summer
574,27-07-2001,2001,7,27,Summer
575,28-07-2001,2001,7,28,Summer
576,29-07-2001,2001,7,29,Summer
577,30-07-2001,2001,7,30,Summer
578,31-07-2001,2001,7,31,Summer
579,01-08-2001,2001,8,1,Winter
580,02-08-2001,2001,8,2,Winter
581,03-08-2001,2001,8,3,Spring
582,04-08-2001,2001,8,4,Spring
583,05-08-2001,2001,8,5,Spring
584,06-08-2001,2001,8,6,Summer
585,07-08-2001,2001,8,7,Summer
586,08-08-2001,2001,8,8,Summer
587,09-08-2001,2001,8,9,Autumn
588,10-08-2001,2001,8,10,Autumn
589,11-08-2001,2001,8,11,Autumn
590,12-08-2001,2001,8,12,Winter
591,13-08-2001,2001,8,13,Summer
592,14-08-2001,2001,8,14,Summer
593,15-08-2001,2001,8,15,Summer
594,16-08-2001,2001,8,16,Summer
595,17-08-2001,2001,8,17,Summer
596,18-08-2001,2001,8,18,Summer
597,19-08-2001,2001,8,19,Summer
598,20-08-2001,2001,8,20,Summer
599,21-08-2001,2001,8,21,Summer
600,22-08-2001,2001,8,22,Summer
601,23-08-2001,2001,8,23,Summer
602,24-08-2001,2001,8,24,Summer
603,25-08-2001,2001,8,25,Summer
604,26-08-2001,2001,8,26,Summer
605,27-08-2001,2001,8,27,Summer
606,28-08-2001,2001,8,28,Summer
607,29-08-2001,2001,8,29,Summer
608,30-08-2001,2001,8,30,Summer
609,31-08-2001,2001,8,31,Summer
610,01-09-2001,2001,9,1,Winter
611,02-09-2001,2001,9,2,Winter
612,03-09-2001,2001,9,3,Spring
613,04-09-2001,2001,9,4,Spring
614,05-09-2001,2001,9,5,Spring
615,06-09-2001,2001,9,6,Summer
616,07-09-2001,2001,9,7,Summer
617,08-09-2001,2001,9,8,Summer
618,09-09-2001,2001,9,9,Autumn
619,10-09-2001,2001,9,10,Autumn
620,11-09-2001,2001,9,11,Autumn
621,12-09-2001,2001,9,12,Winter
622,13-09-2001,2001,9,13,Autumn
623,14-09-2001,2001,9,14,Autumn
624,15-09-2001,2001,9,15,Autumn
625,16-09-2001,2001,9,16,Autumn
626,17-09-2001,2001,9,17,Autumn
627,18-09-2001,2001,9,18,Autumn
628,19-09-2001,2001,9,19,Autumn
629,20-09-2001,2001,9,20,Autumn
630,21-09-2001,2001,9,21,Autumn
631,22-09-2001,2001,9,22,Autumn
632,23-09-2001,2001,9,23,Autumn
633,24-09-2001,2001,9,24,Autumn
634,25-09-2001,2001,9,25,Autumn
635,26-09-2001,2001,9,26,Autumn
636,27-09-2001,2001,9,27,Autumn
637,28-09-2001,2001,9,28,Autumn
638,29-09-2001,2001,9,29,Autumn
639,30-09-2001,2001,9,30,Autumn
640,01-10-2001,2001,10,1,Winter
641,02-10-2001,2001,10,2,Winter
642,03-10-2001,2001,10,3,Spring
643,04-10-2001,2001,10,4,Spring
644,05-10-2001,2001,10,5,Spring
645,06-10-2001,2001,10,6,Summer
646,07-10-2001,2001,10,7,Summer
647,08-10-2001,2001,10,8,Summer
648,09-10-2001,2001,10,9,Autumn
649,10-10-2001,2001,10,10,Autumn
650,11-10-2001,2001,10,11,Autumn
651,12-10-2001,2001,10,12,Winter
652,13-10-2001,2001,10,13,Autumn
653,14-10-2001,2001,10,14,Autumn
654,15-10-2001,2001,10,15,Autumn
655,16-10-2001,2001,10,16,Autumn
656,17-10-2001,2001,10,17,Autumn
657,18-10-2001,2001,10,18,Autumn
658,19-10-2001,2001,10,19,Autumn
659,20-10-2001,2001,10,20,Autumn
660,21-10-2001,2001,10,21,Autumn
661,22-10-2001,2001,10,22,Autumn
662,23-10-2001,2001,10,23,Autumn
663,24-10-2001,2001,10,24,Autumn
664,25-10-2001,2001,10,25,Autumn
665,26-10-2001,2001,10,26,Autumn
666,27-10-2001,2001,10,27,Autumn
667,28-10-2001,2001,10,28,Autumn
668,29-10-2001,2001,10,29,Autumn
669,30-10-2001,2001,10,30,Autumn
670,31-10-2001,2001,10,31,Autumn
671,01-11-2001,2001,11,1,Winter
672,02-11-2001,2001,11,2,Winter
673,03-11-2001,2001,11,3,Spring
674,04-11-2001,2001,11,4,Spring
675,05-11-2001,2001,11,5,Spring
676,06-11-2001,2001,11,6,Summer
677,07-11-2001,2001,11,7,Summer
678,08-11-2001,2001,11,8,Summer
679,09-11-2001,2001,11,9,Autumn
680,10-11-2001,2001,11,10,Autumn
681,11-11-2001,2001,11,11,Autumn
682,12-11-2001,2001,11,12,Winter
683,13-11-2001,2001,11,13,Autumn
684,14-11-2001,2001,11,14,Autumn
685,15-11-2001,2001,11,15,Autumn
686,16-11-2001,2001,11,16,Autumn
687,17-11-2001,2001,11,17,Autumn
688,18-11-2001,2001,11,18,Autumn
689,19-11-2001,2001,11,19,Autumn
